sample_id,split,input_start_date,input_end_date,target_date,current_label,target_label,target_code
0,train,,2012-06-29,2012-07-09,Bear,Bear,1
1,train,,2012-07-09,2012-07-16,Bear,Bear,1
2,train,,2012-07-16,2012-07-23,Bear,Bear,1
3,train,,2012-07-23,2012-07-30,Bear,Non-Bear,0
4,train,,2012-07-30,2012-08-06,Non-Bear,Non-Bear,0
5,train,,2012-08-06,2012-08-13,Non-Bear,Non-Bear,0
6,train,,2012-08-13,2012-08-20,Non-Bear,Non-Bear,0
7,train,,2012-08-20,2012-08-27,Non-Bear,Non-Bear,0
8,train,,2012-08-27,2012-09-04,Non-Bear,Non-Bear,0
9,train,,2012-09-04,2012-09-11,Non-Bear,Non-Bear,0
10,train,,2012-09-11,2012-09-18,Non-Bear,Non-Bear,0
11,train,,2012-09-18,2012-09-25,Non-Bear,Non-Bear,0
12,train,,2012-09-25,2012-10-02,Non-Bear,Non-Bear,0
13,train,,2012-10-02,2012-10-09,Non-Bear,Non-Bear,0
14,train,,2012-10-09,2012-10-16,Non-Bear,Non-Bear,0
15,train,,2012-10-16,2012-10-23,Non-Bear,Bear,1
16,train,,2012-10-23,2012-11-01,Bear,Non-Bear,0
17,train,,2012-11-01,2012-11-08,Non-Bear,Bear,1
18,train,,2012-11-08,2012-11-15,Bear,Bear,1
19,train,,2012-11-15,2012-11-23,Bear,Bear,1
20,train,,2012-11-23,2012-11-30,Bear,Bear,1
21,train,,2012-11-30,2012-12-07,Bear,Bear,1
22,train,,2012-12-07,2012-12-14,Bear,Bear,1
23,train,,2012-12-14,2012-12-21,Bear,Bear,1
24,train,,2012-12-21,2012-12-31,Bear,Bear,1
25,train,,2012-12-31,2013-01-08,Bear,Bear,1
26,train,,2013-01-08,2013-01-15,Bear,Non-Bear,0
27,train,,2013-01-15,2013-01-23,Non-Bear,Non-Bear,0
28,train,,2013-01-23,2013-01-30,Non-Bear,Non-Bear,0
29,train,,2013-01-30,2013-02-06,Non-Bear,Non-Bear,0
30,train,,2013-02-06,2013-02-13,Non-Bear,Non-Bear,0
31,train,,2013-02-13,2013-02-21,Non-Bear,Non-Bear,0
32,train,,2013-02-21,2013-02-28,Non-Bear,Non-Bear,0
33,train,,2013-02-28,2013-03-07,Non-Bear,Non-Bear,0
34,train,,2013-03-07,2013-03-14,Non-Bear,Non-Bear,0
35,train,,2013-03-14,2013-03-21,Non-Bear,Non-Bear,0
36,train,,2013-03-21,2013-03-28,Non-Bear,Non-Bear,0
37,train,,2013-03-28,2013-04-05,Non-Bear,Non-Bear,0
38,train,,2013-04-05,2013-04-12,Non-Bear,Non-Bear,0
39,train,,2013-04-12,2013-04-19,Non-Bear,Bear,1
40,train,,2013-04-19,2013-04-26,Bear,Non-Bear,0
41,train,,2013-04-26,2013-05-03,Non-Bear,Non-Bear,0
42,train,,2013-05-03,2013-05-10,Non-Bear,Non-Bear,0
43,train,,2013-05-10,2013-05-17,Non-Bear,Non-Bear,0
44,train,,2013-05-17,2013-05-24,Non-Bear,Non-Bear,0
45,train,,2013-05-24,2013-06-03,Non-Bear,Non-Bear,0
46,train,,2013-06-03,2013-06-10,Non-Bear,Non-Bear,0
47,train,,2013-06-10,2013-06-17,Non-Bear,Non-Bear,0
48,train,,2013-06-17,2013-06-24,Non-Bear,Bear,1
49,train,,2013-06-24,2013-07-01,Bear,Bear,1
50,train,,2013-07-01,2013-07-09,Bear,Bear,1
51,train,,2013-07-09,2013-07-16,Bear,Non-Bear,0
52,train,,2013-07-16,2013-07-23,Non-Bear,Non-Bear,0
53,train,,2013-07-23,2013-07-30,Non-Bear,Non-Bear,0
54,train,,2013-07-30,2013-08-06,Non-Bear,Non-Bear,0
55,train,,2013-08-06,2013-08-13,Non-Bear,Non-Bear,0
56,train,,2013-08-13,2013-08-20,Non-Bear,Non-Bear,0
57,train,,2013-08-20,2013-08-27,Non-Bear,Bear,1
58,train,,2013-08-27,2013-09-04,Bear,Non-Bear,0
59,train,,2013-09-04,2013-09-11,Non-Bear,Bear,1
60,train,,2013-09-11,2013-09-18,Bear,Non-Bear,0
61,train,,2013-09-18,2013-09-25,Non-Bear,Bear,1
62,train,,2013-09-25,2013-10-02,Bear,Bear,1
63,train,,2013-10-02,2013-10-09,Bear,Bear,1
64,train,,2013-10-09,2013-10-16,Bear,Non-Bear,0
65,train,,2013-10-16,2013-10-23,Non-Bear,Non-Bear,0
66,train,,2013-10-23,2013-10-30,Non-Bear,Non-Bear,0
67,train,,2013-10-30,2013-11-06,Non-Bear,Non-Bear,0
68,train,,2013-11-06,2013-11-13,Non-Bear,Non-Bear,0
69,train,,2013-11-13,2013-11-20,Non-Bear,Non-Bear,0
70,train,,2013-11-20,2013-11-27,Non-Bear,Non-Bear,0
71,train,,2013-11-27,2013-12-05,Non-Bear,Non-Bear,0
72,train,,2013-12-05,2013-12-12,Non-Bear,Non-Bear,0
