date,close,monthly_return,raw_state,hmm_label,hmm_label_code,prob_bear,prob_neutral,prob_bull,state_mean_monthly_return,state_ann_return,state_ann_vol,state_sharpe,state_count,paper_phase,paper_selected,model_loglik
2008-02-29,30.046466827392578,0.11145320883478549,2,Bull,2,0.0002643575957896636,3.0421855029956266e-115,0.9997356424042103,0.04757687633211706,0.7467503607432202,0.16832187152436281,4.4364428340801565,8,Increasing,1,46.90112557996427
2008-03-31,29.77180290222168,-0.009141305257245547,1,Bear,0,0.9261886844062561,0.07379858003755581,1.2735556188054594e-05,-0.009011542810053499,-0.10293657212731366,0.07404941076542866,-1.390106566187175,12,Decreasing,0,50.417276436044524
2008-04-30,31.569595336914062,0.060385742865381786,2,Bull,2,4.528139176524552e-06,1.946592603937698e-37,0.9999954718608235,0.04318594482650727,0.6608894424593317,0.16213312901298277,4.076214691486101,10,Increasing,1,47.7145111347852
2008-05-30,33.7502555847168,0.06907469749075013,1,Bull,2,2.229567521577758e-06,2.5661864698562673e-48,0.9999977704324784,0.0455394677959839,0.706417036570864,0.15617168008234783,4.523336344965855,11,Increasing,1,47.432878323399656
2008-06-30,37.27093505859375,0.10431563888574602,2,Bull,2,3.6086653717572573e-07,2.4703457688807755e-100,0.9999996391334629,0.05043748205346407,0.8048558437516493,0.16008434077219047,5.027698773467213,12,Increasing,1,46.57665064216134
2008-07-31,33.62540817260742,-0.09781152204137578,0,Bear,0,0.999999999817855,1.8214501603856704e-10,2.718084316534003e-21,-0.0029913448827022294,-0.03531141036627128,0.21400329710378085,-0.16500404827476567,5,Decreasing,0,43.87507041811579
2008-08-29,31.4281063079834,-0.06534647411102745,0,Bear,0,0.9999477205642693,3.0719919229633714e-09,5.227636373882194e-05,-0.08157899807620161,-0.6398348593763228,0.07952280190435246,-8.045929520263838,2,Decreasing,0,41.99999932094594
2008-09-30,28.207056045532227,-0.10248947966785249,0,Bear,0,0.9999999756549254,1.1618768037833774e-12,2.4343912759721e-08,-0.0885491586067519,-0.6713005312074468,0.07007803488211212,-9.579328706016566,3,Decreasing,0,43.58485727272027
2008-10-31,21.132402420043945,-0.2508114853981315,0,Bear,0,1.0,1.034051463728651e-58,4.245131997699582e-62,-0.1291147403045968,-0.8096594680408942,0.2868120326437097,-2.82296199562411,4,Decreasing,0,41.17280644741071
2008-11-28,18.51894187927246,-0.1236707729118689,0,Bear,0,0.9999999999996743,1.026955589573623e-15,3.247664419647434e-13,-0.12802594682605123,-0.8067841521973678,0.2485296457693683,-3.2462290351713254,5,Decreasing,0,39.65836261181881
2008-12-31,17.914825439453125,-0.03262154197349154,0,Bear,0,0.9999996586941267,3.405798110167686e-07,7.260623521804812e-10,-0.11212521268395793,-0.7599947820654367,0.26003382239920325,-2.9226766543418905,6,Decreasing,0,38.624576733224494
2009-01-30,17.1201114654541,-0.04436068755930245,0,Bear,0,0.9999999999708414,2.915727016951396e-11,1.3627515994530143e-15,-0.10244456623757858,-0.7266397483709304,0.25341673893348077,-2.8673707641769695,7,Decreasing,0,40.60079309609091
2009-02-27,16.156314849853516,-0.05629616475017629,0,Bear,0,0.9999999998044136,3.3965127077986734e-46,1.955863450555467e-10,-0.0966760160516533,-0.7047958253043474,0.24133019718351081,-2.9204626421798796,8,Decreasing,0,41.61834337126625
2009-03-31,16.908754348754883,0.04657247063417991,0,Bear,0,0.9913967158426816,1.1268340131919102e-11,0.008603284146050008,-0.08075951753100516,-0.6359594983427355,0.2798578263700963,-2.2724377823963895,9,Decreasing,0,37.65552815650777
2009-04-30,16.891843795776367,-0.0010001063726945425,1,Neutral,1,0.01141319022319768,0.7272667347239387,0.2613200750528637,-0.009181047484838143,-0.104776110952437,0.11226064975406201,-0.9333289196346006,9,Decreasing,0,35.13839933717762
2009-05-29,19.639514923095703,0.16266259388488802,2,Bull,2,6.895243601203428e-05,2.21001024320965e-07,0.9999308265629636,0.06257767249396756,1.0717065170587294,0.17610299141712388,6.085680364851082,13,Increasing,1,31.925225502057632
2009-06-30,19.123796463012695,-0.02625922595860719,2,Bull,2,0.07352779167746082,0.0005328167397901293,0.925939391582749,0.056232179747355074,0.9280253407062433,0.18812568029330487,4.9330072282495845,14,Increasing,1,30.757737965607113
2009-07-31,19.4788818359375,0.018567723914630463,2,Bull,2,1.669402673649354e-05,0.011951554798379758,0.9880317511748837,0.053721216025173435,0.8737372586525842,0.18438604231867264,4.738630146106789,15,Increasing,1,32.7730045047381
2009-08-31,18.692625045776367,-0.040364575173433725,1,Neutral,1,8.105408143659611e-07,0.9999991885872429,8.71942774823984e-10,0.00298894296066585,0.03646285926915516,0.23689747997238425,0.15391830792546093,9,Increasing,0,31.244504734055088
2009-09-30,18.650354385375977,-0.0022613549620170703,2,Bull,2,1.4360836007831365e-05,0.030474971909442344,0.9695106672545498,0.041812015634182145,0.6348290422046774,0.19543380270208027,3.2483072704286076,16,Increasing,1,32.40131570455661
2009-10-30,19.943872451782227,0.0693562191729995,2,Bull,2,0.00028263984016917783,0.0016210585144389885,0.9980963016453919,0.07385814244139206,1.3515974136033995,0.1474163005029223,9.168575042192204,10,Increasing,1,31.788698597909942
2009-11-30,20.848491668701172,0.045358253223190204,1,Neutral,1,7.631269477752159e-07,0.9998567039196657,0.00014253295338655182,0.011612800340013774,0.14860788178931927,0.21595074973174777,0.6881563596047652,12,Increasing,0,31.593831488614978
2009-12-31,20.814674377441406,-0.0016220497768927311,1,Neutral,1,0.010689407534684028,0.9842041083909038,0.0051064840744122104,0.019832097919274615,0.2657388797935907,0.12628154465178412,2.104336627544065,13,Increasing,0,31.540681838645988
2010-01-29,19.182981491088867,-0.0783914682864768,1,Neutral,1,0.004987711430645812,0.9950122884837734,8.558070715041495e-11,0.0010622892019246308,0.01282221303031772,0.1613413239002921,0.07947259090449614,16,Increasing,0,30.690408046256984
2010-02-26,19.977691650390625,0.04142787499799905,1,Neutral,1,1.6845724827572844e-08,0.9999997961832799,1.8697099527386708e-07,0.006717864067652986,0.0836606464768983,0.21021205906561363,0.3979821464513853,15,Increasing,0,30.85937645272726
2010-03-31,19.884693145751953,-0.0046551176315133835,1,Neutral,1,2.6642464188404003e-09,0.9999999973355089,2.447466802772416e-13,0.006007052711455088,0.07451456011743507,0.20332284096819656,0.36648396098837965,16,Increasing,0,33.632691507932904
2010-04-30,20.66249656677246,0.03911568638848584,1,Neutral,1,3.3461612036734575e-10,0.9999999996008024,6.458137991808974e-11,0.00795461939833925,0.09974438812661424,0.19882201040035538,0.5016767908430522,17,Increasing,0,33.568275693975835
2010-05-28,18.565811157226562,-0.10147299493893669,2,Neutral,1,2.7225288889465995e-06,0.9999972774711111,0.0,0.0018753074907128088,0.02273725429808371,0.21257427314905455,0.10696145851168272,18,Increasing,0,34.765646181741744
2010-06-30,18.236087799072266,-0.0177597065574997,2,Bull,2,1.9634120701685067e-12,7.949934639301515e-11,0.9999999999185373,0.0008418856987016241,0.010149538829395066,0.2071735554748544,0.04899051332170125,19,Increasing,1,34.992069022128405
2010-07-30,19.35206413269043,0.061196038641299966,2,Bull,2,2.2039103927234555e-33,3.28831734790145e-11,0.9999999999671169,0.012380603599976536,0.1591130355260184,0.2109491093179581,0.7542721372015441,17,Increasing,1,34.853389564505186
2010-08-31,18.76871681213379,-0.030143932789640893,1,Bull,2,3.0485980988781644e-06,1.0674795945709216e-10,0.9999969512951532,0.0100181293561089,0.1270677702804408,0.20757520315907416,0.6121529370878809,18,Increasing,1,35.75948734004515
2010-09-30,20.383501052856445,0.08603594251465907,1,Bull,2,1.1707767896761848e-08,0.0,0.9999999882922321,0.014019066890769436,0.18182576784012183,0.2105787908989436,0.8634571746941966,19,Increasing,1,37.81705645570827
2010-10-29,21.28812026977539,0.044379972536277235,1,Neutral,1,2.855881631653105e-11,0.9988834945370412,0.0011165054343999972,0.006029840312619008,0.07480666932171576,0.17952365298728776,0.41669533834080846,17,Increasing,0,34.86919785148961
2010-11-30,21.19512176513672,-0.004368563473906573,1,Neutral,1,7.606241726504315e-13,0.9999258308961697,7.416910306957882e-05,0.005452151213367586,0.06742382417249493,0.1743703477206739,0.38667023983058185,18,Increasing,0,38.983644428492276
2010-12-31,23.291805267333984,0.09892292789966617,0,Neutral,1,4.6590542035445495e-144,0.9994882360680949,0.0005117639319050869,0.010371665775804353,0.13181098216768672,0.1850238380676514,0.7123999996124384,19,Increasing,0,37.81372623000025
2011-01-31,24.120336532592773,0.035571792557478554,1,Neutral,1,2.9199918656620356e-09,0.9999999970800082,0.0,0.011631672114888063,0.1488650374150775,0.18114377839933826,0.8218059639172312,20,Increasing,0,39.33140968589268
2011-02-28,25.12640380859375,0.041710333296615554,0,Neutral,1,3.3655695729420513e-10,0.9999999961380823,3.52536070964703e-09,0.015030150077649202,0.19604442411915257,0.1798104927024126,1.090283560056794,20,Increasing,0,38.8533617798211
2011-03-31,25.794301986694336,0.0265815268746159,1,Neutral,1,2.4453523232343816e-07,0.9999997548111436,6.536240652496112e-10,0.01558021563940952,0.20384557936497694,0.17547498624132526,1.1616788451240252,21,Increasing,0,37.09047952528348
2011-04-29,26.96946144104004,0.04555887788519697,1,Neutral,1,0.033786785893242126,0.9662132141067579,2.6253317305568796e-306,0.04679910126132536,0.7312512230081896,0.11295492098135072,6.473832362991267,8,Increasing,0,42.96281255730936
2011-05-31,25.574487686157227,-0.05172419767938152,1,Neutral,1,4.270282699516537e-09,0.9999999957297173,5.198353780078923e-195,0.006251886894747919,0.07765684810139328,0.2095109185919941,0.37065776152995555,14,Increasing,0,46.369040796620126
2011-06-30,24.483869552612305,-0.04264476954254859,0,Bear,0,0.8870903073510922,0.11290969264890782,7.619991696257127e-159,-0.02500962893611337,-0.26208910959429343,0.13406128100643683,-1.9549948174947656,12,Decreasing,0,46.07184366684492
2011-07-29,25.599851608276367,0.04558029739808811,2,Neutral,1,0.020769484327414725,0.9774180688592664,0.0018124468133188733,0.044433236324959054,0.6848770073121524,0.024728953881917426,27.69534896552804,9,Increasing,0,48.833176013097095
2011-08-31,25.498397827148438,-0.003963061297399428,0,Bear,0,0.987468585919749,0.012531414080251034,1.139178913493296e-49,-0.017935726610678937,-0.19521671986681743,0.13837478101937722,-1.4107825026258245,8,Decreasing,0,49.36161056912769
2011-09-30,21.770017623901367,-0.14622017542127375,1,Neutral,1,1.0446263276525792e-10,0.9999999998955373,1.704094840188919e-158,-0.000514937918232275,-0.006161784393203473,0.29960607289990526,-0.02056628670294694,8,Decreasing,0,48.47288807385767
2011-10-31,23.435531616210938,0.07650494460238733,1,Neutral,1,0.033254200963247514,0.9667457990367525,6.31587277194622e-24,0.08066496341450313,1.53683870714094,0.055083408463078534,27.900210789807183,4,Increasing,0,48.08279230485025
2011-11-30,23.367895126342773,-0.0028860659521535714,1,Bear,0,0.9451796772607033,0.054794962720218235,2.536001907847355e-05,-0.0034989716263731374,-0.04118898496333401,0.0043151124378627065,-9.545286607580286,5,Decreasing,0,47.51100609956832
2011-12-30,22.691547393798828,-0.02894345977192847,1,Neutral,1,0.16093635485579202,0.779460212177626,0.05960343296658192,0.02499553179532999,0.3448184738722355,0.15359018607729955,2.24505538198055,16,Increasing,0,38.40135973938473
