sample_id,asset,split,input_start_date,input_end_date,target_date,current_label,target_label,target_code
0,GLD,train,2012-05-18,2012-06-29,2012-07-09,Neutral,Neutral,1
1,QQQ,train,2012-05-18,2012-06-29,2012-07-09,Neutral,Bear,0
2,SPY,train,2012-05-18,2012-06-29,2012-07-09,Bear,Bear,0
3,TLT,train,2012-05-18,2012-06-29,2012-07-09,Neutral,Bull,2
4,GLD,train,2012-05-25,2012-07-09,2012-07-16,Neutral,Neutral,1
5,QQQ,train,2012-05-25,2012-07-09,2012-07-16,Bear,Neutral,1
6,SPY,train,2012-05-25,2012-07-09,2012-07-16,Bear,Bear,0
7,TLT,train,2012-05-25,2012-07-09,2012-07-16,Bull,Bull,2
8,GLD,train,2012-06-04,2012-07-16,2012-07-23,Neutral,Neutral,1
9,QQQ,train,2012-06-04,2012-07-16,2012-07-23,Neutral,Neutral,1
10,SPY,train,2012-06-04,2012-07-16,2012-07-23,Bear,Bear,0
11,TLT,train,2012-06-04,2012-07-16,2012-07-23,Bull,Bull,2
12,GLD,train,2012-06-11,2012-07-23,2012-07-30,Neutral,Neutral,1
13,QQQ,train,2012-06-11,2012-07-23,2012-07-30,Neutral,Neutral,1
14,SPY,train,2012-06-11,2012-07-23,2012-07-30,Bear,Neutral,1
15,TLT,train,2012-06-11,2012-07-23,2012-07-30,Bull,Bull,2
16,GLD,train,2012-06-18,2012-07-30,2012-08-06,Neutral,Neutral,1
17,QQQ,train,2012-06-18,2012-07-30,2012-08-06,Neutral,Neutral,1
18,SPY,train,2012-06-18,2012-07-30,2012-08-06,Neutral,Neutral,1
19,TLT,train,2012-06-18,2012-07-30,2012-08-06,Bull,Bull,2
20,GLD,train,2012-06-25,2012-08-06,2012-08-13,Neutral,Neutral,1
21,QQQ,train,2012-06-25,2012-08-06,2012-08-13,Neutral,Neutral,1
22,SPY,train,2012-06-25,2012-08-06,2012-08-13,Neutral,Bull,2
23,TLT,train,2012-06-25,2012-08-06,2012-08-13,Bull,Neutral,1
24,GLD,train,2012-07-02,2012-08-13,2012-08-20,Neutral,Neutral,1
25,QQQ,train,2012-07-02,2012-08-13,2012-08-20,Neutral,Bull,2
26,SPY,train,2012-07-02,2012-08-13,2012-08-20,Bull,Bull,2
27,TLT,train,2012-07-02,2012-08-13,2012-08-20,Neutral,Neutral,1
28,GLD,train,2012-07-10,2012-08-20,2012-08-27,Neutral,Bull,2
29,QQQ,train,2012-07-10,2012-08-20,2012-08-27,Bull,Bull,2
30,SPY,train,2012-07-10,2012-08-20,2012-08-27,Bull,Bull,2
31,TLT,train,2012-07-10,2012-08-20,2012-08-27,Neutral,Neutral,1
32,GLD,train,2012-07-17,2012-08-27,2012-09-04,Bull,Bull,2
33,QQQ,train,2012-07-17,2012-08-27,2012-09-04,Bull,Bull,2
34,SPY,train,2012-07-17,2012-08-27,2012-09-04,Bull,Bull,2
35,TLT,train,2012-07-17,2012-08-27,2012-09-04,Neutral,Neutral,1
36,GLD,train,2012-07-24,2012-09-04,2012-09-11,Bull,Bull,2
37,QQQ,train,2012-07-24,2012-09-04,2012-09-11,Bull,Bull,2
38,SPY,train,2012-07-24,2012-09-04,2012-09-11,Bull,Bull,2
39,TLT,train,2012-07-24,2012-09-04,2012-09-11,Neutral,Neutral,1
40,GLD,train,2012-07-31,2012-09-11,2012-09-18,Bull,Bull,2
41,QQQ,train,2012-07-31,2012-09-11,2012-09-18,Bull,Bull,2
42,SPY,train,2012-07-31,2012-09-11,2012-09-18,Bull,Bull,2
43,TLT,train,2012-07-31,2012-09-11,2012-09-18,Neutral,Bear,0
44,GLD,train,2012-08-07,2012-09-18,2012-09-25,Bull,Bull,2
45,QQQ,train,2012-08-07,2012-09-18,2012-09-25,Bull,Bull,2
46,SPY,train,2012-08-07,2012-09-18,2012-09-25,Bull,Bull,2
47,TLT,train,2012-08-07,2012-09-18,2012-09-25,Bear,Bear,0
48,GLD,train,2012-08-14,2012-09-25,2012-10-02,Bull,Bull,2
49,QQQ,train,2012-08-14,2012-09-25,2012-10-02,Bull,Bull,2
50,SPY,train,2012-08-14,2012-09-25,2012-10-02,Bull,Bull,2
51,TLT,train,2012-08-14,2012-09-25,2012-10-02,Bear,Neutral,1
52,GLD,train,2012-08-21,2012-10-02,2012-10-09,Bull,Bull,2
53,QQQ,train,2012-08-21,2012-10-02,2012-10-09,Bull,Bear,0
54,SPY,train,2012-08-21,2012-10-02,2012-10-09,Bull,Bull,2
55,TLT,train,2012-08-21,2012-10-02,2012-10-09,Neutral,Neutral,1
56,GLD,train,2012-08-28,2012-10-09,2012-10-16,Bull,Bull,2
57,QQQ,train,2012-08-28,2012-10-09,2012-10-16,Bear,Neutral,1
58,SPY,train,2012-08-28,2012-10-09,2012-10-16,Bull,Bull,2
59,TLT,train,2012-08-28,2012-10-09,2012-10-16,Neutral,Neutral,1
60,GLD,train,2012-09-05,2012-10-16,2012-10-23,Bull,Bull,2
61,QQQ,train,2012-09-05,2012-10-16,2012-10-23,Neutral,Bear,0
62,SPY,train,2012-09-05,2012-10-16,2012-10-23,Bull,Bear,0
63,TLT,train,2012-09-05,2012-10-16,2012-10-23,Neutral,Neutral,1
64,GLD,train,2012-09-12,2012-10-23,2012-11-01,Bull,Bull,2
65,QQQ,train,2012-09-12,2012-10-23,2012-11-01,Bear,Bear,0
66,SPY,train,2012-09-12,2012-10-23,2012-11-01,Bear,Neutral,1
67,TLT,train,2012-09-12,2012-10-23,2012-11-01,Neutral,Neutral,1
68,GLD,train,2012-09-19,2012-11-01,2012-11-08,Bull,Bull,2
69,QQQ,train,2012-09-19,2012-11-01,2012-11-08,Bear,Bear,0
70,SPY,train,2012-09-19,2012-11-01,2012-11-08,Neutral,Bear,0
71,TLT,train,2012-09-19,2012-11-01,2012-11-08,Neutral,Neutral,1
72,GLD,train,2012-09-26,2012-11-08,2012-11-15,Bull,Bull,2
73,QQQ,train,2012-09-26,2012-11-08,2012-11-15,Bear,Bear,0
74,SPY,train,2012-09-26,2012-11-08,2012-11-15,Bear,Bear,0
75,TLT,train,2012-09-26,2012-11-08,2012-11-15,Neutral,Neutral,1
76,GLD,train,2012-10-03,2012-11-15,2012-11-23,Bull,Bull,2
77,QQQ,train,2012-10-03,2012-11-15,2012-11-23,Bear,Neutral,1
78,SPY,train,2012-10-03,2012-11-15,2012-11-23,Bear,Bear,0
79,TLT,train,2012-10-03,2012-11-15,2012-11-23,Neutral,Neutral,1
