sample_id,split,input_start_date,input_end_date,target_date,current_label,target_label,target_code
0,train,2012-05-18,2012-06-29,2012-07-05,Bear,Bear,0
1,train,2012-05-23,2012-07-05,2012-07-10,Bear,Bear,0
2,train,2012-05-29,2012-07-10,2012-07-13,Bear,Neutral,1
3,train,2012-06-01,2012-07-13,2012-07-18,Neutral,Neutral,1
4,train,2012-06-06,2012-07-18,2012-07-23,Neutral,Bear,0
5,train,2012-06-11,2012-07-23,2012-07-26,Bear,Neutral,1
6,train,2012-06-14,2012-07-26,2012-07-31,Neutral,Neutral,1
7,train,2012-06-19,2012-07-31,2012-08-03,Neutral,Neutral,1
8,train,2012-06-22,2012-08-03,2012-08-08,Neutral,Bull,2
9,train,2012-06-27,2012-08-08,2012-08-13,Bull,Bull,2
10,train,2012-07-02,2012-08-13,2012-08-16,Bull,Bull,2
11,train,2012-07-06,2012-08-16,2012-08-21,Bull,Bull,2
12,train,2012-07-11,2012-08-21,2012-08-24,Bull,Bull,2
13,train,2012-07-16,2012-08-24,2012-08-29,Bull,Bull,2
14,train,2012-07-19,2012-08-29,2012-09-04,Bull,Bull,2
15,train,2012-07-24,2012-09-04,2012-09-07,Bull,Bull,2
16,train,2012-07-27,2012-09-07,2012-09-12,Bull,Bull,2
17,train,2012-08-01,2012-09-12,2012-09-17,Bull,Bull,2
18,train,2012-08-06,2012-09-17,2012-09-20,Bull,Bull,2
19,train,2012-08-09,2012-09-20,2012-09-25,Bull,Bull,2
20,train,2012-08-14,2012-09-25,2012-09-28,Bull,Neutral,1
21,train,2012-08-17,2012-09-28,2012-10-03,Neutral,Bull,2
22,train,2012-08-22,2012-10-03,2012-10-08,Bull,Bull,2
23,train,2012-08-27,2012-10-08,2012-10-11,Bull,Bull,2
24,train,2012-08-30,2012-10-11,2012-10-16,Bull,Bull,2
25,train,2012-09-05,2012-10-16,2012-10-19,Bull,Neutral,1
26,train,2012-09-10,2012-10-19,2012-10-24,Neutral,Bear,0
27,train,2012-09-13,2012-10-24,2012-10-31,Bear,Bear,0
28,train,2012-09-18,2012-10-31,2012-11-05,Bear,Bear,0
29,train,2012-09-21,2012-11-05,2012-11-08,Bear,Bear,0
30,train,2012-09-26,2012-11-08,2012-11-13,Bear,Bear,0
31,train,2012-10-01,2012-11-13,2012-11-16,Bear,Bear,0
32,train,2012-10-04,2012-11-16,2012-11-21,Bear,Bear,0
33,train,2012-10-09,2012-11-21,2012-11-27,Bear,Bear,0
34,train,2012-10-12,2012-11-27,2012-11-30,Bear,Bear,0
35,train,2012-10-17,2012-11-30,2012-12-05,Bear,Bear,0
36,train,2012-10-22,2012-12-05,2012-12-10,Bear,Bear,0
37,train,2012-10-25,2012-12-10,2012-12-13,Bear,Bear,0
38,train,2012-11-01,2012-12-13,2012-12-18,Bear,Neutral,1
39,train,2012-11-06,2012-12-18,2012-12-21,Neutral,Bear,0
40,train,2012-11-09,2012-12-21,2012-12-27,Bear,Bear,0
41,train,2012-11-14,2012-12-27,2013-01-02,Bear,Bear,0
42,train,2012-11-19,2013-01-02,2013-01-07,Bear,Bear,0
43,train,2012-11-23,2013-01-07,2013-01-10,Bear,Bear,0
44,train,2012-11-28,2013-01-10,2013-01-15,Bear,Bull,2
45,train,2012-12-03,2013-01-15,2013-01-18,Bull,Bull,2
46,train,2012-12-06,2013-01-18,2013-01-24,Bull,Bull,2
47,train,2012-12-11,2013-01-24,2013-01-29,Bull,Bull,2
48,train,2012-12-14,2013-01-29,2013-02-01,Bull,Bull,2
49,train,2012-12-19,2013-02-01,2013-02-06,Bull,Bull,2
50,train,2012-12-24,2013-02-06,2013-02-11,Bull,Bull,2
51,train,2012-12-28,2013-02-11,2013-02-14,Bull,Bull,2
52,train,2013-01-03,2013-02-14,2013-02-20,Bull,Bull,2
53,train,2013-01-08,2013-02-20,2013-02-25,Bull,Bull,2
54,train,2013-01-11,2013-02-25,2013-02-28,Bull,Bull,2
55,train,2013-01-16,2013-02-28,2013-03-05,Bull,Bull,2
56,train,2013-01-22,2013-03-05,2013-03-08,Bull,Bull,2
57,train,2013-01-25,2013-03-08,2013-03-13,Bull,Bull,2
58,train,2013-01-30,2013-03-13,2013-03-18,Bull,Bull,2
59,train,2013-02-04,2013-03-18,2013-03-21,Bull,Bull,2
60,train,2013-02-07,2013-03-21,2013-03-26,Bull,Bull,2
61,train,2013-02-12,2013-03-26,2013-04-01,Bull,Bull,2
62,train,2013-02-15,2013-04-01,2013-04-04,Bull,Bull,2
63,train,2013-02-21,2013-04-04,2013-04-09,Bull,Bull,2
64,train,2013-02-26,2013-04-09,2013-04-12,Bull,Bull,2
65,train,2013-03-01,2013-04-12,2013-04-17,Bull,Bear,0
66,train,2013-03-06,2013-04-17,2013-04-22,Bear,Bear,0
67,train,2013-03-11,2013-04-22,2013-04-25,Bear,Neutral,1
68,train,2013-03-14,2013-04-25,2013-04-30,Neutral,Bull,2
69,train,2013-03-19,2013-04-30,2013-05-03,Bull,Bull,2
70,train,2013-03-22,2013-05-03,2013-05-08,Bull,Bull,2
71,train,2013-03-27,2013-05-08,2013-05-13,Bull,Bull,2
72,train,2013-04-02,2013-05-13,2013-05-16,Bull,Bull,2
